"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "encodingImgTargetFile", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\task\starred.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\tasks-cards-icon.png", "encodingImgTargetFile", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dashboard\tasks-cards-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dot.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\dots.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\frame.png", "encodingImgTargetFile", 0, 0, 0, 781, 0, 0, 0, 0, 7, 788
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\active-board.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\active-calendar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\active-grid.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\active-table.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\board.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\calendar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\grid.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\group.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\svp.png", "encodingImgTargetFile", 0, 0, 0, 42, 0, 0, 0, 0, 0, 42
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\header\table.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\icons8-done-30.png", "encodingImgTargetFile", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\icons8-done.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\jpg.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\login-illustration.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
